msg_idx,Timestamp,CI,D_LRBG,HO_state,Neighbor_Cell,CQI_wb,UL_SNR_wb,CES,EStop,V_TRAIN,NID_BG,M_MODE,DL Rxqual,UL Rxqual,voice_DL_kb,voice_UL_kb,etcs_DL_kb,etcs_UL_kb,ato_DL_kb,ato_UL_kb,remote_engine_ctrl_DL_kb,remote_engine_ctrl_UL_kb,pub_warn_DL_kb,pub_warn_UL_kb,telemetry_nc_DL_kb,telemetry_nc_UL_kb,equip_ctl_DL_kb,equip_ctl_UL_kb,asset_tel_DL_kb,asset_tel_UL_kb,pis_DL_kb,pis_UL_kb,video_surv_DL_kb,video_surv_UL_kb,critical_DL,critical_UL,perform_DL,perform_UL
1,2025-10-01 13:33:50.793,1,2415.0,3,3,15,20.9,0,0,145.0,1093.0,STM National,0.0,0.0,0.0,0.0,1.295774723295088,0.3235529664404425,0.0,0.0,0.0,0.0,0.0,0.0,0.2591549446590176,1.29421186576177,0.2591549446590176,0.25884237315235403,1.0366197786360705,1.0353694926094161,0.1295774723295088,0.06471059328808851,0.0,0.0,1.295774723295088,0.3235529664404425,1.6845071402836147,2.653134324811629
2,2025-10-01 13:33:50.796,1,2415.0,0,3,15,20.9,0,0,145.0,1093.0,STM National,0.0,0.0,0.0,0.0,1.3280023764900832,0.32958302254707195,0.0,0.0,0.0,0.0,0.0,0.0,0.26560047529801667,1.3183320901882878,0.26560047529801667,0.26366641803765756,1.0624019011920667,1.0546656721506302,0.13280023764900833,0.06591660450941439,0.0,0.0,1.3280023764900832,0.32958302254707195,1.7264030894371083,2.70258078488599
3,2025-10-01 13:33:50.817,1,2415.0,0,3,15,20.9,0,0,145.0,1093.0,STM National,0.0,0.0,0.0,0.0,1.3191320300333798,0.3268922996437489,0.0,0.0,0.0,0.0,0.0,0.0,0.26382640600667595,1.3075691985749955,0.26382640600667595,0.2615138397149991,1.0553056240267038,1.0460553588599963,0.13191320300333798,0.06537845992874977,0.0,0.0,1.3191320300333798,0.3268922996437489,1.7148716390433938,2.6805168570787408
4,2025-10-01 13:33:50.851,1,2415.0,0,3,15,20.9,0,0,145.0,1093.0,STM National,0.0,0.0,0.0,0.0,1.2921565640104333,0.32305196117116197,0.0,0.0,0.0,0.0,0.0,0.0,0.25843131280208664,1.2922078446846479,0.25843131280208664,0.2584415689369296,1.0337252512083466,1.0337662757477184,0.12921565640104332,0.0646103922342324,0.0,0.0,1.2921565640104333,0.32305196117116197,1.6798035332135632,2.649026081603528
5,2025-10-01 13:33:50.881,1,2415.0,0,3,15,20.9,0,0,145.0,1093.0,STM National,0.0,0.0,0.0,0.0,1.319564464126596,0.32944320886231676,0.0,0.0,0.0,0.0,0.0,0.0,0.2639128928253192,1.317772835449267,0.2639128928253192,0.2635545670898534,1.0556515713012768,1.0542182683594137,0.1319564464126596,0.06588864177246335,0.0,0.0,1.319564464126596,0.32944320886231676,1.715433803364575,2.7014343126709974
6,2025-10-01 13:33:50.901,1,2415.0,0,3,15,20.9,0,0,145.0,1093.0,STM National,0.0,0.0,0.0,0.0,1.2976841974812927,0.3268642964898265,0.0,0.0,0.0,0.0,0.0,0.0,0.25953683949625855,1.307457185959306,0.25953683949625855,0.2614914371918612,1.0381473579850342,1.0459657487674447,0.12976841974812928,0.0653728592979653,0.0,0.0,1.2976841974812927,0.3268642964898265,1.6869894567256807,2.6802872312165773
7,2025-10-01 13:33:50.917,1,2415.0,0,3,15,20.9,0,0,145.0,1093.0,STM National,0.0,0.0,0.0,0.0,1.3083782976590752,0.32521704708445237,0.0,0.0,0.0,0.0,0.0,0.0,0.26167565953181504,1.3008681883378095,0.26167565953181504,0.2601736376675619,1.0467026381272602,1.0406945506702476,0.13083782976590752,0.06504340941689048,0.0,0.0,1.3083782976590752,0.32521704708445237,1.7008917869567979,2.6667797860925093
8,2025-10-01 13:33:50.931,1,2415.0,0,3,15,20.9,0,0,145.0,1093.0,STM National,0.0,0.0,0.0,0.0,1.297366951288508,0.32758005814949676,0.0,0.0,0.0,0.0,0.0,0.0,0.2594733902577016,1.310320232597987,0.2594733902577016,0.2620640465195974,1.0378935610308064,1.0482561860783897,0.1297366951288508,0.06551601162989935,0.0,0.0,1.297366951288508,0.32758005814949676,1.6865770366750605,2.6861564768258734
9,2025-10-01 13:33:50.931,1,2415.0,0,3,15,20.9,0,0,145.0,1093.0,STM National,0.0,0.0,0.0,0.0,1.321024515403023,0.3283449569817588,0.0,0.0,0.0,0.0,0.0,0.0,0.26420490308060457,1.3133798279270352,0.26420490308060457,0.26267596558540707,1.0568196123224183,1.0507038623416283,0.13210245154030228,0.06566899139635177,0.0,0.0,1.321024515403023,0.3283449569817588,1.7173318700239295,2.692428647250422
10,2025-10-01 13:33:50.934,1,2415.0,0,3,15,20.9,0,0,145.0,1093.0,STM National,0.0,0.0,0.0,0.0,1.3123963816308415,0.32589201508664833,0.0,0.0,0.0,0.0,0.0,0.0,0.2624792763261683,1.3035680603465933,0.2624792763261683,0.26071361206931865,1.0499171053046732,1.0428544482772746,0.13123963816308415,0.06517840301732966,0.0,0.0,1.3123963816308415,0.32589201508664833,1.7061152961200938,2.6723145237105164
11,2025-10-01 13:33:50.987,1,2415.0,0,3,15,20.9,0,0,145.0,1093.0,STM National,0.0,0.0,0.0,0.0,1.305981127518781,0.3258036323591017,0.0,0.0,0.0,0.0,0.0,0.0,0.2611962255037562,1.3032145294364068,0.2611962255037562,0.26064290588728134,1.0447849020150248,1.0425716235491254,0.1305981127518781,0.06516072647182033,0.0,0.0,1.305981127518781,0.3258036323591017,1.6977754657744153,2.6715897853446338
12,2025-10-01 13:33:52.013,1,2415.0,0,3,15,20.9,0,0,145.0,1093.0,STM National,0.0,0.0,0.0,0.0,1.3213249630534691,0.3279343758173614,0.0,0.0,0.0,0.0,0.0,0.0,0.2642649926106938,1.3117375032694456,0.2642649926106938,0.2623475006538891,1.0570599704427752,1.0493900026155565,0.1321324963053469,0.06558687516347228,0.0,0.0,1.3213249630534691,0.3279343758173614,1.7177224519695098,2.6890618817023633
13,2025-10-01 13:33:52.230,1,2415.0,0,3,15,20.9,0,0,145.0,1093.0,STM National,0.0,0.0,0.0,0.0,1.3061279952639433,0.327665347714439,0.0,0.0,0.0,0.0,0.0,0.0,0.26122559905278864,1.310661390857756,0.26122559905278864,0.2621322781715512,1.0449023962111545,1.0485291126862049,0.13061279952639432,0.0655330695428878,0.0,0.0,1.3061279952639433,0.327665347714439,1.6979663938431262,2.6868558512583998
14,2025-10-01 13:33:52.633,1,2415.0,0,3,15,20.9,0,0,145.0,1093.0,STM National,0.0,0.0,0.0,0.0,1.2960115035361315,0.32650171899098646,0.0,0.0,0.0,0.0,0.0,0.0,0.2592023007072263,1.3060068759639458,0.2592023007072263,0.2612013751927892,1.036809202828905,1.0448055007711567,0.12960115035361314,0.0653003437981973,0.0,0.0,1.2960115035361315,0.32650171899098646,1.6848149545969708,2.677314095726089
15,2025-10-01 13:33:52.710,1,2415.0,0,3,15,20.9,0,0,145.0,1093.0,STM National,0.0,0.0,0.0,0.0,1.3050090563344965,0.32804518499500973,0.0,0.0,0.0,0.0,0.0,0.0,0.2610018112668993,1.312180739980039,0.2610018112668993,0.2624361479960078,1.0440072450675972,1.0497445919840311,0.13050090563344965,0.06560903699900195,0.0,0.0,1.3050090563344965,0.32804518499500973,1.6965117732348456,2.6899705169590797
16,2025-10-01 13:33:52.761,1,2415.0,0,3,15,20.9,0,0,145.0,1093.0,STM National,0.0,0.0,0.0,0.0,1.3140145977429616,0.32897769113082054,0.0,0.0,0.0,0.0,0.0,0.0,0.2628029195485923,1.3159107645232822,0.2628029195485923,0.2631821529046564,1.0512116781943692,1.0527286116186256,0.13140145977429615,0.0657955382261641,0.0,0.0,1.3140145977429616,0.32897769113082054,1.7082189770658498,2.6976170672727284
17,2025-10-01 13:33:53.037,1,2415.0,0,3,15,20.9,0,0,145.0,1093.0,STM National,0.0,0.0,0.0,0.0,1.3105927062356084,0.32855209646818284,0.0,0.0,0.0,0.0,0.0,0.0,0.2621185412471217,1.3142083858727314,0.2621185412471217,0.26284167717454626,1.0484741649884868,1.051366708698185,0.13105927062356085,0.06571041929363657,0.0,0.0,1.3105927062356084,0.32855209646818284,1.7037705181062912,2.694127191039099
18,2025-10-01 13:33:53.190,1,2415.0,0,3,15,20.9,0,0,145.0,1093.0,STM National,0.0,0.0,0.0,0.0,1.2999229975946052,0.32910469747785753,0.0,0.0,0.0,0.0,0.0,0.0,0.25998459951892106,1.3164187899114301,0.25998459951892106,0.26328375798228604,1.0399383980756842,1.0531350319291441,0.12999229975946053,0.06582093949557151,0.0,0.0,1.2999229975946052,0.32910469747785753,1.6898998968729868,2.698658519318432
19,2025-10-01 13:33:53.293,1,2415.0,0,3,15,20.9,0,0,145.0,1093.0,STM National,0.0,0.0,0.0,0.0,1.3158500659776924,0.3265495735722055,0.0,0.0,0.0,0.0,0.0,0.0,0.26317001319553845,1.306198294288822,0.26317001319553845,0.2612396588577644,1.0526800527821538,1.0449586354310576,0.13158500659776923,0.0653099147144411,0.0,0.0,1.3158500659776924,0.3265495735722055,1.710605085771,2.677706503292085
